"ID_Band","TimePoint","Treatment","AgeCategory","Sex","Mom_ID","Cohort","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes.x","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell","PlateNumber","TubeID","Extractor","CORT.ng.mL.","Notes.y"
4715,"Treatment","C","Older","F",4115,4,"No","209","200","No","0.6","No","No","U","60","1:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,219,"BH",0.563614415,"tube says this is C cohort"
4717,"Baseline","C","Younger","F",4157,5,"No","292","275","No","0.6","No","No","U/L","50","2:42","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,8,205,"BH",0.095287329,"Milky"
4717,"Treatment","C","Younger","F",4157,5,"No","256","221","No","0.5","No","No","L","59","3:00/4:57","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,201,"BH",2.369680989,"Lysed"
4718,"Baseline","A","Younger","F",4157,5,"No","269","269","No","0.4","No","No","Y","50","1:35","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,7,187,"MRM",0.658007705,""
4718,"Treatment","A","Younger","F",4157,5,"No","268","248","No","0.6","No","No","No","No","2:55","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4719,"Baseline","D","Younger","F",4222,4,"Yes","245","No","No","0.5","No","No","U","56.5","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,87,"BH",3.342984133,"Transferred from bad tub"
4719,"Treatment","D","Younger","F",4222,4,"Yes","No","No","No","No","No","No","No","No","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,107,"BH",4.225158697,""
4720,"Baseline","E","Younger","F",4374,5,"No","275","271","No","0.4","No","No","U","50","1:31","042224A","75001L04",118,"",165.4170622,128.7004163,0.778035921,24.19143663,126633.2464,15.67508931,765.5392057,5,128,"BH",0.619679545,""
4720,"Heat","E","Younger","F",4374,5,"No","276","303","No","0.3","No","No","L","41","3:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,122,"BH",6.038685027,""
4720,"Treatment","E","Younger","F",4374,5,"No","237","223","No","0.3","No","No","U","50","2:42","","",113,"",NA,NA,NA,NA,NA,NA,NA,5,115,"BH",2.620947386,""
4723,"Baseline","D","Younger","F",4206,5,"No","273","256","No","0.4","0.3","No","U","54","4:00","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,93,"BH",0.817765943,"Lysed"
4723,"Treatment","D","Younger","F",4206,5,"No","225","212","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,89,"BH",0.773631223,""
4725,"Baseline","B","Younger","M",4574,6,"No","266","255","No","0.3","No","No","U","50","3:00/3:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,3,69,"MRM",0.662254735,"Lysed"
4725,"Treatment","B","Younger","M",4574,6,"No","231","230","No","0.5","No","No","U","50","2:00","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,3,62,"MRM",5.617117872,""
4729,"Baseline","D","Younger","F",4374,5,"No","296","280","No","0.5","No","No","U","52","2:23","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,6,153,"MRM",1.68327952,""
4729,"Treatment","D","Younger","F",4374,5,"No","229","213","No","0.4","No","No","U","52","No","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,6,158,"MRM",1.532691351,""
4731,"Baseline","C","Younger","F",4175,6,"No","243","235","No","0.6","No","No","U","56","3:00/3:30","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,5,127,"BH",3.103700131,""
4731,"Treatment","C","Younger","F",4175,6,"No","166","165","No","0.7","No","No","U","58","3:00/3:35","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,5,134,"BH",4.488511457,""
4735,"Baseline","D","Younger","F",4210,6,"No","186","191","No","0.4","No","No","U","54","1:35","042224A","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,7,191,"MRM",0.658007705,""
4735,"Treatment","D","Younger","F",4210,6,"No","177","204","215","0.4","No","No","U","54","1:28","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,7,180,"MRM",1.063963865,""
4737,"Baseline","C","Younger","F",4210,6,"Yes","280","293","No","0.4","No","No","U","54","1:52","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",204.942183,30.2143487,0.147428647,23.89250377,90483.13549,16.19194267,441.5056684,NA,NA,NA,NA,NA
4737,"Treatment","C","Younger","F",4210,6,"Yes","No","No","No","No","No","No","No","No","No","No","No",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4738,"Baseline","E","Younger","F",4210,6,"No","254","217","No","0.3","No","No","L","52","2:30","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",123.4994096,26.62164244,0.215560888,24.6023404,54701.82001,17.04049759,442.9318342,1,6,"BH",0.734798907,"Lysed"
4738,"Heat","E","Younger","F",4210,6,"No","264","251","No","0.7","No","No","U","54","1:47","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,1,15,"BH",19.4055011,""
4738,"Treatment","E","Younger","F",4210,6,"No","230","230","No","0.4","No","No","U/L","58","3:00/4:18","","",113,"Double check bleed times on actual datasheet",NA,NA,NA,NA,NA,NA,NA,1,25,"BH",3.38719683,"Lysed"
4739,"Baseline","E","Younger","F",4023,5,"No","205","208","No","0.4","No","No","U","58","1:45","042224A","75001L04",114,"",92.00273001,48.29678786,0.524949508,25.02671685,149955.61,15.3550255,1629.903917,8,204,"BH",0.966207279,""
4739,"Heat","E","Younger","F",4023,5,"No","199","192","No","0.6","No","No","U","57","1:48","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,8,197,"BH",1.666514564,""
4739,"Treatment","E","Younger","F",4023,5,"No","189","171","No","0.5","No","No","U","56","3:00","","",113,"",NA,NA,NA,NA,NA,NA,NA,8,216,"BH",0.368439141,""
4741,"Baseline","B","Younger","F",4111,6,"No","211","211","No","0.5","No","No","L","58","2:25","042224A","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA,4,86,"BH",0.631540734,"Lysed"
4741,"Treatment","B","Younger","F",4111,6,"No","194","195","No","0.7","No","No","U","60","1:18","032024A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,4,100,"BH",0.881914642,""
