,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C09,FAM,,Unkn-11,4817B,,26.5661480014886,26.5509737215276,0.0501122598592725,48.4379474663168,1.68518573185048,48.9842316693253,1.75791662027538,60,
,C10,FAM,,Neg Ctrl-01,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,FAM,,Std-04,STD4,,20.3961068544675,21.2014321191623,0.96657336325318,3000,3.47712125471966,3000,0,60,
,D02,FAM,,Std-04,STD4,,22.2733125636484,21.2014321191623,0.96657336325318,3000,3.47712125471966,3000,0,60,
,D03,FAM,,Std-04,STD4,,20.934876939371,21.2014321191623,0.96657336325318,3000,3.47712125471966,3000,0,60,
,D04,FAM,,Unkn-04,4738B,,27.2618190841642,27.4124592510401,0.137307881982296,29.5365232677801,1.4703593733564,26.621642441016,2.63803723950964,60,
,D05,FAM,,Unkn-04,4738B,,27.5306058396725,27.4124592510401,0.137307881982296,24.3981453708769,1.38735681462534,26.621642441016,2.63803723950964,60,
,D06,FAM,,Unkn-04,4738B,,27.4449528292836,27.4124592510401,0.137307881982296,25.9302586843911,1.41380684938189,26.621642441016,2.63803723950964,60,
,D07,FAM,,Unkn-12,4745B,,26.5608259918097,26.397365837923,0.151064388249707,48.6215939789169,1.68682919237035,54.8224639454668,5.79233124503885,60,
,D08,FAM,,Unkn-12,4745B,,26.3683712610318,26.397365837923,0.151064388249707,55.7519521316719,1.74626007862908,54.8224639454668,5.79233124503885,60,
,D09,FAM,,Unkn-12,4745B,,26.2629002609275,26.397365837923,0.151064388249707,60.0938457258116,1.77882999772361,54.8224639454668,5.79233124503885,60,
,E01,FAM,,Std-05,STD5,,23.2431318458606,23.7970582030556,0.545083230347286,300,2.47712125471966,300,0,60,
,E02,FAM,,Std-05,STD5,,24.3328454939559,23.7970582030556,0.545083230347286,300,2.47712125471966,300,0,60,
,E03,FAM,,Std-05,STD5,,23.8151972693502,23.7970582030556,0.545083230347286,300,2.47712125471966,300,0,60,
,E04,FAM,,Unkn-05,4810B,,28.1543712546375,28.195524341481,0.0764238987716887,15.6579625373104,1.19473524965226,15.2212364616154,0.81386008510936,60,
,E05,FAM,,Unkn-05,4810B,,28.1484959303069,28.195524341481,0.0764238987716887,15.7235127158138,1.1965495762246,15.2212364616154,0.81386008510936,60,
,E06,FAM,,Unkn-05,4810B,,28.2837058394986,28.195524341481,0.0764238987716887,14.2822341317222,1.15479614827954,15.2212364616154,0.81386008510936,60,
,E07,FAM,,Unkn-13,4768B,,26.2639879750969,26.18835417709,0.120058374944301,60.0473860523145,1.77849410669705,63.5216232517932,5.54765014826313,60,
,E08,FAM,,Unkn-13,4768B,,26.0499208786103,26.18835417709,0.120058374944301,69.9196086248745,1.84459898866907,63.5216232517932,5.54765014826313,60,
,E09,FAM,,Unkn-13,4768B,,26.2511536775627,26.18835417709,0.120058374944301,60.5978750781906,1.78245739548648,63.5216232517932,5.54765014826313,60,
,F01,FAM,,Std-06,STD6,,27.2798493635246,27.1428007829083,0.207217054951641,30,1.47712125471966,30,0,60,
,F02,FAM,,Std-06,STD6,,27.2441357660476,27.1428007829083,0.207217054951641,30,1.47712125471966,30,0,60,
,F03,FAM,,Std-06,STD6,,26.9044172191526,27.1428007829083,0.207217054951641,30,1.47712125471966,30,0,60,
